Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77003,2401.0,217.0,164.0,394.0,359.0,267.0,762.0,238.0,7017.0
77375,14485.0,762.0,1079.0,3509.0,3380.0,3130.0,1916.0,709.0,33560.0
77002,761.0,0.0,0.0,0.0,7.0,228.0,321.0,205.0,11592.0
77091,6860.0,619.0,466.0,1898.0,1247.0,1044.0,1366.0,220.0,17356.0
77024,10726.0,782.0,697.0,1986.0,2698.0,2736.0,1181.0,646.0,26554.0
77036,18914.0,995.0,1311.0,4954.0,4718.0,3727.0,2742.0,467.0,53324.0
77046,75.0,0.0,0.0,0.0,0.0,0.0,15.0,60.0,928.0
77049,10808.0,607.0,551.0,2708.0,1960.0,2591.0,2218.0,173.0,21372.0
77061,7788.0,362.0,402.0,1682.0,1685.0,1981.0,1370.0,306.0,17148.0
77073,15590.0,902.0,733.0,3260.0,3073.0,3361.0,3917.0,344.0,24978.0
77076,10403.0,613.0,615.0,2985.0,2167.0,2574.0,1334.0,115.0,22591.0
77079,9565.0,876.0,631.0,2204.0,2134.0,2120.0,1063.0,537.0,22805.0
77080,11942.0,617.0,728.0,3391.0,2400.0,2496.0,1918.0,392.0,31676.0
77087,11140.0,697.0,722.0,2775.0,2281.0,2412.0,2123.0,130.0,24174.0
77092,9154.0,515.0,748.0,1838.0,2103.0,2274.0,1379.0,297.0,26975.0
77095,20958.0,1163.0,946.0,4457.0,4216.0,5195.0,4007.0,974.0,48281.0
77016,7416.0,438.0,512.0,1632.0,1856.0,1570.0,1249.0,159.0,21028.0
77018,6059.0,807.0,481.0,1493.0,1056.0,974.0,924.0,324.0,20415.0
77029,4989.0,314.0,249.0,1454.0,1233.0,907.0,716.0,116.0,11991.0
77044,13241.0,1008.0,996.0,4083.0,2904.0,2086.0,1533.0,631.0,26864.0
77048,5056.0,239.0,324.0,958.0,929.0,1669.0,725.0,212.0,11169.0
77051,4588.0,366.0,257.0,1189.0,637.0,1022.0,915.0,202.0,11214.0
77066,9870.0,576.0,476.0,2084.0,2113.0,2098.0,2285.0,238.0,22816.0
77054,7236.0,423.0,216.0,237.0,335.0,301.0,2791.0,2933.0,14471.0
77059,5060.0,262.0,266.0,935.0,1202.0,1319.0,744.0,332.0,11825.0
77062,7521.0,654.0,362.0,1262.0,1313.0,1659.0,1662.0,609.0,18033.0
77075,13000.0,982.0,721.0,2495.0,3238.0,2503.0,2734.0,327.0,28216.0
77078,4749.0,305.0,280.0,1109.0,1259.0,1099.0,642.0,55.0,10425.0
77085,5191.0,313.0,121.0,1125.0,1174.0,1184.0,1133.0,141.0,12087.0
77484,2431.0,226.0,47.0,555.0,705.0,553.0,293.0,52.0,7804.0
77506,10794.0,672.0,708.0,3397.0,2546.0,2171.0,1267.0,33.0,24575.0
77520,9870.0,628.0,626.0,2372.0,2237.0,1906.0,1966.0,135.0,25235.0
77532,7265.0,552.0,336.0,1630.0,1219.0,2184.0,1096.0,248.0,19749.0
77586,5597.0,249.0,357.0,949.0,1228.0,1590.0,973.0,251.0,15918.0
77598,5787.0,384.0,506.0,1161.0,865.0,792.0,1818.0,261.0,17383.0
77502,11394.0,632.0,537.0,2863.0,2941.0,2766.0,1507.0,148.0,25618.0
77547,3210.0,150.0,234.0,893.0,775.0,613.0,545.0,0.0,6452.0
77503,7922.0,535.0,599.0,1776.0,2000.0,1499.0,1440.0,73.0,16999.0
77521,16794.0,669.0,1006.0,4363.0,3473.0,3675.0,3355.0,253.0,38141.0
77530,9327.0,526.0,573.0,2370.0,2068.0,2291.0,1422.0,77.0,20341.0
77571,9727.0,656.0,554.0,1939.0,2125.0,2149.0,1938.0,366.0,26391.0
77336,3361.0,198.0,173.0,862.0,622.0,973.0,484.0,49.0,8646.0
77094,2987.0,205.0,154.0,641.0,789.0,716.0,387.0,95.0,6209.0
77096,9420.0,730.0,572.0,2221.0,1743.0,1792.0,1786.0,576.0,24521.0
77379,22586.0,1618.0,1523.0,4844.0,5034.0,4769.0,3769.0,1029.0,53035.0
77389,9018.0,1009.0,886.0,2515.0,2047.0,1183.0,1026.0,352.0,21277.0
77010,102.0,0.0,0.0,31.0,0.0,21.0,11.0,39.0,802.0
77020,6667.0,445.0,299.0,1575.0,1841.0,1396.0,1031.0,80.0,17952.0
77021,7467.0,555.0,303.0,1266.0,1412.0,1452.0,1905.0,574.0,18283.0
77030,3307.0,139.0,156.0,583.0,300.0,269.0,567.0,1293.0,6998.0
77037,5584.0,203.0,414.0,1546.0,1398.0,1306.0,700.0,17.0,13523.0
77045,10998.0,665.0,714.0,2539.0,2372.0,2374.0,2100.0,234.0,23694.0
77082,13827.0,837.0,512.0,2574.0,2643.0,2658.0,3714.0,889.0,39888.0
77084,31162.0,1590.0,1524.0,6513.0,7512.0,7048.0,5772.0,1203.0,68514.0
