Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77002,66776.0,2741.0,240.0,136.0,158.0,13.0,68.0,206.0,70.0,66.0,44.0,238.0,217.0,391.0,264.0,145.0,230.0,255.0
77003,35258.0,3949.0,676.0,370.0,274.0,195.0,183.0,270.0,149.0,39.0,112.0,313.0,281.0,425.0,195.0,182.0,182.0,103.0
77004,34079.0,12352.0,2540.0,1344.0,574.0,592.0,688.0,533.0,402.0,464.0,348.0,886.0,715.0,910.0,886.0,358.0,477.0,635.0
77005,147026.0,9535.0,295.0,225.0,99.0,259.0,249.0,283.0,174.0,254.0,147.0,388.0,372.0,608.0,760.0,724.0,940.0,3758.0
77006,62821.0,11481.0,904.0,387.0,602.0,446.0,627.0,548.0,395.0,419.0,402.0,766.0,1036.0,1331.0,938.0,505.0,725.0,1450.0
77007,86462.0,14506.0,677.0,537.0,429.0,506.0,512.0,615.0,506.0,423.0,279.0,872.0,1116.0,1815.0,1678.0,955.0,1434.0,2152.0
77008,65306.0,14227.0,677.0,372.0,528.0,563.0,824.0,716.0,726.0,598.0,463.0,1193.0,1103.0,1872.0,1134.0,902.0,1207.0,1349.0
77009,41699.0,13877.0,1372.0,733.0,943.0,1276.0,953.0,911.0,514.0,597.0,571.0,942.0,1115.0,1280.0,849.0,460.0,629.0,732.0
77010,51154.0,154.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,13.0,0.0,16.0,0.0,25.0,0.0,29.0
77011,26786.0,5834.0,748.0,709.0,822.0,378.0,567.0,511.0,302.0,266.0,304.0,308.0,337.0,276.0,121.0,108.0,23.0,54.0
