Zipcode,Total Travel Time,Travel Time Less than 5 minutes,Travel Time 5 to 9 minutes,Travel Time 10 to 14 minutes,Travel Time 15 to 19 minutes,Travel Time 15 to 19 minutes,Travel Time 20 to 24 minutes,Travel Time 25 to 29 minutes,Travel Time 30 to 34 minutes,Travel Time 35 to 39 minutes,Travel Time 40 to 44 minutes,Travel Time 45 to 59 minutes,Travel Time 60 to 89 minutes,Travel Time 90 or more minutes
77484,4782.0,245.0,325.0,422.0,416.0,416.0,184.0,133.0,487.0,129.0,494.0,863.0,889.0,195.0
77493,10828.0,360.0,799.0,1420.0,1216.0,1216.0,1512.0,704.0,1404.0,284.0,464.0,1703.0,810.0,152.0
77502,13997.0,281.0,1022.0,1672.0,2172.0,2172.0,2179.0,1037.0,3144.0,117.0,523.0,901.0,677.0,272.0
77503,9141.0,129.0,647.0,1320.0,1652.0,1652.0,1954.0,619.0,1114.0,212.0,250.0,859.0,240.0,145.0
77504,10121.0,211.0,858.0,1126.0,1494.0,1494.0,1658.0,700.0,1689.0,248.0,540.0,1121.0,360.0,116.0
77505,11418.0,238.0,1068.0,1481.0,2045.0,2045.0,1718.0,641.0,1611.0,375.0,426.0,1038.0,663.0,114.0
77506,12540.0,134.0,1024.0,1531.0,2552.0,2552.0,1748.0,761.0,2345.0,186.0,380.0,1047.0,702.0,130.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,14093.0,308.0,1425.0,2042.0,3085.0,3085.0,1916.0,632.0,2049.0,281.0,327.0,801.0,837.0,390.0
77521,19598.0,662.0,2064.0,3507.0,3717.0,3717.0,2931.0,735.0,2106.0,276.0,859.0,1175.0,1171.0,395.0
77530,11980.0,349.0,791.0,1475.0,1998.0,1998.0,1600.0,671.0,2447.0,472.0,311.0,1175.0,457.0,234.0
77532,11779.0,168.0,818.0,811.0,1430.0,1430.0,1090.0,976.0,2016.0,585.0,718.0,2046.0,919.0,202.0
77536,14487.0,475.0,1701.0,2173.0,2280.0,2280.0,2239.0,745.0,2001.0,587.0,447.0,1038.0,606.0,195.0
77547,3627.0,71.0,441.0,294.0,603.0,603.0,525.0,344.0,787.0,23.0,95.0,294.0,82.0,68.0
77562,4456.0,261.0,303.0,511.0,844.0,844.0,641.0,169.0,452.0,130.0,215.0,533.0,277.0,120.0
77571,17045.0,613.0,1639.0,2330.0,2585.0,2585.0,2693.0,851.0,2626.0,457.0,743.0,1389.0,945.0,174.0
77586,10039.0,226.0,912.0,1556.0,1454.0,1454.0,1287.0,738.0,1206.0,315.0,303.0,1020.0,866.0,156.0
77587,6599.0,234.0,660.0,641.0,1119.0,1119.0,732.0,356.0,1404.0,144.0,239.0,441.0,483.0,146.0
77598,12963.0,329.0,1938.0,1917.0,1711.0,1711.0,2174.0,677.0,1747.0,354.0,302.0,911.0,727.0,176.0
77002,2732.0,82.0,318.0,589.0,575.0,575.0,541.0,236.0,188.0,39.0,22.0,20.0,101.0,21.0
77003,4600.0,103.0,453.0,573.0,872.0,872.0,875.0,369.0,664.0,127.0,28.0,141.0,365.0,30.0
77004,13281.0,265.0,1677.0,3206.0,2589.0,2589.0,1749.0,513.0,1666.0,183.0,299.0,467.0,283.0,384.0
77005,11340.0,371.0,1352.0,2358.0,2896.0,2896.0,2041.0,461.0,988.0,213.0,309.0,283.0,50.0,18.0
77006,13133.0,621.0,1441.0,2990.0,2857.0,2857.0,1921.0,727.0,1476.0,181.0,197.0,332.0,212.0,178.0
77007,19433.0,355.0,1535.0,3297.0,4429.0,4429.0,3328.0,1636.0,2964.0,348.0,388.0,622.0,337.0,194.0
77008,17199.0,436.0,1253.0,2773.0,3157.0,3157.0,3347.0,1399.0,2779.0,313.0,560.0,753.0,354.0,75.0
77009,16985.0,469.0,1208.0,2249.0,3144.0,3144.0,3199.0,570.0,3212.0,416.0,688.0,925.0,683.0,222.0
77010,200.0,0.0,45.0,38.0,38.0,38.0,39.0,8.0,24.0,0.0,0.0,8.0,0.0,0.0
77011,6996.0,123.0,602.0,715.0,1058.0,1058.0,890.0,527.0,1925.0,107.0,256.0,277.0,349.0,167.0
77012,8919.0,135.0,533.0,1071.0,1308.0,1308.0,1655.0,383.0,1576.0,215.0,321.0,468.0,866.0,388.0
77013,7497.0,117.0,595.0,851.0,1340.0,1340.0,969.0,705.0,1728.0,250.0,167.0,377.0,281.0,117.0
77014,13351.0,34.0,395.0,1321.0,2128.0,2128.0,2112.0,664.0,3048.0,513.0,434.0,1496.0,1018.0,188.0
77015,21888.0,231.0,2141.0,2369.0,3742.0,3742.0,2781.0,1663.0,5166.0,677.0,580.0,1467.0,703.0,368.0
77016,9664.0,113.0,289.0,671.0,1314.0,1314.0,1650.0,495.0,2181.0,479.0,418.0,1082.0,669.0,303.0
77017,13336.0,131.0,431.0,1764.0,2306.0,2306.0,1771.0,658.0,3904.0,303.0,415.0,744.0,759.0,150.0
77018,13465.0,229.0,713.0,1615.0,2485.0,2485.0,2565.0,1038.0,2778.0,358.0,542.0,600.0,311.0,231.0
77019,11706.0,362.0,1537.0,2719.0,2013.0,2013.0,1933.0,711.0,1579.0,275.0,160.0,258.0,106.0,53.0
77020,9352.0,168.0,624.0,1284.0,1306.0,1306.0,1535.0,449.0,1836.0,177.0,261.0,801.0,640.0,271.0
77021,9874.0,143.0,923.0,1755.0,1740.0,1740.0,1519.0,391.0,1653.0,166.0,339.0,350.0,650.0,245.0
77022,11134.0,237.0,600.0,1060.0,1706.0,1706.0,2322.0,587.0,2220.0,103.0,403.0,875.0,752.0,269.0
77023,13914.0,251.0,1554.0,1997.0,2549.0,2549.0,2358.0,730.0,2150.0,244.0,433.0,654.0,582.0,412.0
77024,14922.0,391.0,1147.0,2202.0,2847.0,2847.0,2927.0,1251.0,2701.0,319.0,230.0,645.0,170.0,92.0
77025,12871.0,350.0,905.0,1768.0,2787.0,2787.0,2716.0,1018.0,1800.0,140.0,164.0,432.0,549.0,242.0
77026,7206.0,212.0,317.0,691.0,1039.0,1039.0,920.0,238.0,1711.0,79.0,435.0,493.0,729.0,342.0
77027,9273.0,357.0,1033.0,2032.0,1663.0,1663.0,2111.0,537.0,747.0,104.0,84.0,364.0,181.0,60.0
77028,5904.0,71.0,66.0,401.0,700.0,700.0,952.0,656.0,1508.0,177.0,233.0,537.0,403.0,200.0
77029,6038.0,71.0,519.0,611.0,1154.0,1154.0,1071.0,451.0,1095.0,51.0,136.0,214.0,497.0,168.0
77030,6073.0,155.0,680.0,1419.0,1082.0,1082.0,1128.0,373.0,708.0,97.0,117.0,168.0,63.0,83.0
77031,8284.0,80.0,166.0,600.0,828.0,828.0,3064.0,749.0,1325.0,458.0,105.0,500.0,340.0,69.0
77032,3385.0,108.0,271.0,338.0,473.0,473.0,221.0,209.0,790.0,67.0,171.0,190.0,446.0,101.0
