Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77049,8433.0,6791.0,4523.0,2268.0,692.0,1576.0,1642.0,1263.0,379.0
77050,1298.0,1030.0,693.0,337.0,135.0,202.0,268.0,220.0,48.0
77051,5515.0,3357.0,1185.0,2172.0,268.0,1904.0,2158.0,1853.0,305.0
77054,11659.0,4297.0,2763.0,1534.0,487.0,1047.0,7362.0,5549.0,1813.0
77055,14255.0,9541.0,6327.0,3214.0,882.0,2332.0,4714.0,3623.0,1091.0
77056,9288.0,3879.0,3517.0,362.0,113.0,249.0,5409.0,4822.0,587.0
77057,19708.0,8104.0,5685.0,2419.0,985.0,1434.0,11604.0,9881.0,1723.0
77058,8625.0,3439.0,2211.0,1228.0,532.0,696.0,5186.0,4320.0,866.0
77059,6026.0,5289.0,4915.0,374.0,71.0,303.0,737.0,553.0,184.0
77060,13165.0,9446.0,4288.0,5158.0,1585.0,3573.0,3719.0,2772.0,947.0
77061,8482.0,5379.0,3077.0,2302.0,703.0,1599.0,3103.0,2539.0,564.0
77062,9627.0,7312.0,5894.0,1418.0,510.0,908.0,2315.0,1875.0,440.0
77063,17527.0,7633.0,5391.0,2242.0,551.0,1691.0,9894.0,8076.0,1818.0
77064,14989.0,10586.0,7818.0,2768.0,933.0,1835.0,4403.0,3786.0,617.0
77065,13852.0,8595.0,6203.0,2392.0,570.0,1822.0,5257.0,4733.0,524.0
77066,9506.0,7719.0,5620.0,2099.0,644.0,1455.0,1787.0,1469.0,318.0
77067,8990.0,6773.0,3305.0,3468.0,950.0,2518.0,2217.0,1818.0,399.0
77068,3643.0,2675.0,1984.0,691.0,172.0,519.0,968.0,742.0,226.0
77069,7326.0,4281.0,3594.0,687.0,90.0,597.0,3045.0,2669.0,376.0
77070,17210.0,11244.0,8410.0,2834.0,630.0,2204.0,5966.0,4735.0,1231.0
77071,9492.0,6309.0,3631.0,2678.0,419.0,2259.0,3183.0,2928.0,255.0
77072,16915.0,12846.0,7235.0,5611.0,1600.0,4011.0,4069.0,3343.0,726.0
77073,10872.0,8670.0,5510.0,3160.0,970.0,2190.0,2202.0,1705.0,497.0
77074,11620.0,7585.0,4631.0,2954.0,804.0,2150.0,4035.0,3351.0,684.0
77075,11615.0,9157.0,5948.0,3209.0,641.0,2568.0,2458.0,1790.0,668.0
77076,8958.0,7245.0,4487.0,2758.0,752.0,2006.0,1713.0,1401.0,312.0
77077,23644.0,13768.0,9694.0,4074.0,798.0,3276.0,9876.0,8561.0,1315.0
77078,4554.0,3547.0,1951.0,1596.0,164.0,1432.0,1007.0,876.0,131.0
77079,11891.0,8161.0,6470.0,1691.0,555.0,1136.0,3730.0,3189.0,541.0
77080,14993.0,10184.0,6281.0,3903.0,1371.0,2532.0,4809.0,3543.0,1266.0
77081,15460.0,9179.0,5101.0,4078.0,1515.0,2563.0,6281.0,4964.0,1317.0
77082,19124.0,11624.0,7632.0,3992.0,965.0,3027.0,7500.0,6043.0,1457.0
