Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77562,3538.0,2593.0,1878.0,715.0,263.0,452.0,945.0,802.0,143.0
77571,12277.0,9393.0,6841.0,2552.0,856.0,1696.0,2884.0,2200.0,684.0
77586,8236.0,5443.0,4642.0,801.0,328.0,473.0,2793.0,2402.0,391.0
77587,4717.0,3709.0,2658.0,1051.0,160.0,891.0,1008.0,804.0,204.0
77598,9905.0,4988.0,2722.0,2266.0,766.0,1500.0,4917.0,4007.0,910.0
77002,3035.0,524.0,393.0,131.0,12.0,119.0,2511.0,2151.0,360.0
77003,4255.0,2158.0,1131.0,1027.0,206.0,821.0,2097.0,1691.0,406.0
77004,12536.0,5566.0,3004.0,2562.0,521.0,2041.0,6970.0,5588.0,1382.0
77005,9420.0,6421.0,5833.0,588.0,204.0,384.0,2999.0,2662.0,337.0
77006,11595.0,3280.0,2476.0,804.0,424.0,380.0,8315.0,6516.0,1799.0
77007,15940.0,6167.0,5046.0,1121.0,590.0,531.0,9773.0,7349.0,2424.0
77008,14742.0,7058.0,5374.0,1684.0,413.0,1271.0,7684.0,6091.0,1593.0
77009,14046.0,8367.0,5158.0,3209.0,1038.0,2171.0,5679.0,4302.0,1377.0
77010,373.0,155.0,155.0,0.0,0.0,0.0,218.0,209.0,9.0
77011,5507.0,4247.0,2538.0,1709.0,526.0,1183.0,1260.0,890.0,370.0
77012,6221.0,4576.0,2736.0,1840.0,797.0,1043.0,1645.0,1154.0,491.0
77013,5473.0,4030.0,2415.0,1615.0,625.0,990.0,1443.0,1192.0,251.0
77014,10213.0,7063.0,4257.0,2806.0,645.0,2161.0,3150.0,2644.0,506.0
77015,16590.0,12976.0,8605.0,4371.0,1421.0,2950.0,3614.0,3035.0,579.0
77016,9220.0,6136.0,2670.0,3466.0,866.0,2600.0,3084.0,2773.0,311.0
77017,9899.0,7300.0,5197.0,2103.0,810.0,1293.0,2599.0,2136.0,463.0
77018,10720.0,6568.0,4694.0,1874.0,643.0,1231.0,4152.0,3332.0,820.0
77019,9934.0,4429.0,3478.0,951.0,289.0,662.0,5505.0,4324.0,1181.0
77020,8100.0,5866.0,3101.0,2765.0,626.0,2139.0,2234.0,1868.0,366.0
77021,9766.0,5299.0,2235.0,3064.0,884.0,2180.0,4467.0,3663.0,804.0
77022,9045.0,6145.0,3682.0,2463.0,664.0,1799.0,2900.0,2572.0,328.0
77023,9455.0,6357.0,3883.0,2474.0,793.0,1681.0,3098.0,2439.0,659.0
77024,14436.0,9894.0,8361.0,1533.0,371.0,1162.0,4542.0,4238.0,304.0
77025,11690.0,6461.0,5099.0,1362.0,312.0,1050.0,5229.0,4574.0,655.0
77026,7855.0,5096.0,2263.0,2833.0,621.0,2212.0,2759.0,2411.0,348.0
77027,8874.0,3217.0,2492.0,725.0,323.0,402.0,5657.0,4493.0,1164.0
77028,5521.0,3634.0,1632.0,2002.0,363.0,1639.0,1887.0,1733.0,154.0
77029,5618.0,3778.0,2329.0,1449.0,393.0,1056.0,1840.0,1612.0,228.0
77030,5119.0,2343.0,2071.0,272.0,40.0,232.0,2776.0,2096.0,680.0
77031,5765.0,3977.0,2296.0,1681.0,457.0,1224.0,1788.0,1521.0,267.0
77032,4229.0,2972.0,1194.0,1778.0,298.0,1480.0,1257.0,1123.0,134.0
77033,8772.0,6284.0,2686.0,3598.0,716.0,2882.0,2488.0,2205.0,283.0
77034,11320.0,8072.0,5256.0,2816.0,699.0,2117.0,3248.0,2636.0,612.0
77035,13200.0,8308.0,4934.0,3374.0,697.0,2677.0,4892.0,4083.0,809.0
77036,22928.0,14811.0,8550.0,6261.0,1776.0,4485.0,8117.0,6114.0,2003.0
77037,5196.0,4412.0,2552.0,1860.0,593.0,1267.0,784.0,687.0,97.0
77038,7503.0,5903.0,3419.0,2484.0,809.0,1675.0,1600.0,1298.0,302.0
77039,7149.0,5920.0,3601.0,2319.0,785.0,1534.0,1229.0,912.0,317.0
77040,16076.0,11147.0,7867.0,3280.0,1031.0,2249.0,4929.0,3959.0,970.0
77041,11384.0,8929.0,7354.0,1575.0,559.0,1016.0,2455.0,1884.0,571.0
77042,17293.0,8501.0,5282.0,3219.0,736.0,2483.0,8792.0,7341.0,1451.0
77043,8183.0,5575.0,3853.0,1722.0,516.0,1206.0,2608.0,2185.0,423.0
77044,9901.0,8362.0,6304.0,2058.0,595.0,1463.0,1539.0,1223.0,316.0
77045,9382.0,7242.0,4153.0,3089.0,561.0,2528.0,2140.0,1849.0,291.0
77046,793.0,246.0,221.0,25.0,0.0,25.0,547.0,515.0,32.0
77047,7995.0,5453.0,3061.0,2392.0,669.0,1723.0,2542.0,2164.0,378.0
77048,5322.0,3759.0,1613.0,2146.0,432.0,1714.0,1563.0,1359.0,204.0
77049,8669.0,6839.0,4665.0,2174.0,625.0,1549.0,1830.0,1433.0,397.0
77050,1324.0,1015.0,612.0,403.0,106.0,297.0,309.0,239.0,70.0
77051,5682.0,3503.0,1103.0,2400.0,294.0,2106.0,2179.0,1910.0,269.0
77054,11621.0,4333.0,2580.0,1753.0,472.0,1281.0,7288.0,5756.0,1532.0
77055,14427.0,9748.0,6309.0,3439.0,955.0,2484.0,4679.0,3574.0,1105.0
77056,9422.0,4171.0,3805.0,366.0,102.0,264.0,5251.0,4663.0,588.0
77057,19888.0,8250.0,5672.0,2578.0,965.0,1613.0,11638.0,9855.0,1783.0
77058,8304.0,3371.0,2140.0,1231.0,492.0,739.0,4933.0,4085.0,848.0
77059,5966.0,5143.0,4782.0,361.0,72.0,289.0,823.0,679.0,144.0
77060,13059.0,9232.0,4118.0,5114.0,1412.0,3702.0,3827.0,2905.0,922.0
77061,8367.0,5471.0,3080.0,2391.0,900.0,1491.0,2896.0,2399.0,497.0
77062,9684.0,7239.0,5729.0,1510.0,453.0,1057.0,2445.0,1992.0,453.0
77063,17321.0,7676.0,5352.0,2324.0,631.0,1693.0,9645.0,7968.0,1677.0
77064,15382.0,11046.0,8219.0,2827.0,878.0,1949.0,4336.0,3625.0,711.0
77065,14192.0,9217.0,6409.0,2808.0,726.0,2082.0,4975.0,4438.0,537.0
77066,9514.0,7723.0,5476.0,2247.0,509.0,1738.0,1791.0,1408.0,383.0
77067,9174.0,6940.0,3619.0,3321.0,879.0,2442.0,2234.0,1804.0,430.0
77068,3747.0,2817.0,2059.0,758.0,279.0,479.0,930.0,692.0,238.0
77069,7636.0,4449.0,3628.0,821.0,173.0,648.0,3187.0,2809.0,378.0
77070,17932.0,11468.0,8610.0,2858.0,513.0,2345.0,6464.0,5209.0,1255.0
77071,9646.0,6328.0,3533.0,2795.0,457.0,2338.0,3318.0,3008.0,310.0
77072,17084.0,13015.0,7477.0,5538.0,1629.0,3909.0,4069.0,3314.0,755.0
77073,11160.0,8879.0,5402.0,3477.0,978.0,2499.0,2281.0,1663.0,618.0
77074,11794.0,7824.0,4850.0,2974.0,891.0,2083.0,3970.0,3157.0,813.0
77075,11884.0,9521.0,6127.0,3394.0,674.0,2720.0,2363.0,1729.0,634.0
77076,9180.0,7482.0,4271.0,3211.0,956.0,2255.0,1698.0,1449.0,249.0
77077,23814.0,13739.0,9798.0,3941.0,694.0,3247.0,10075.0,8591.0,1484.0
77078,4708.0,3642.0,1979.0,1663.0,218.0,1445.0,1066.0,959.0,107.0
77079,12026.0,8071.0,6404.0,1667.0,452.0,1215.0,3955.0,3342.0,613.0
77080,14926.0,10234.0,6252.0,3982.0,1415.0,2567.0,4692.0,3431.0,1261.0
