Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77002,2741.0,411.0,310.0,101.0,7.0,94.0,2330.0,2033.0,297.0
77003,3949.0,1790.0,919.0,871.0,236.0,635.0,2159.0,1657.0,502.0
77004,12352.0,5026.0,2632.0,2394.0,532.0,1862.0,7326.0,5940.0,1386.0
77005,9535.0,6240.0,5720.0,520.0,152.0,368.0,3295.0,2854.0,441.0
77006,11481.0,3038.0,2123.0,915.0,358.0,557.0,8443.0,6550.0,1893.0
77007,14506.0,5580.0,4682.0,898.0,469.0,429.0,8926.0,6904.0,2022.0
77008,14227.0,6911.0,5327.0,1584.0,384.0,1200.0,7316.0,5906.0,1410.0
77009,13877.0,8289.0,5638.0,2651.0,789.0,1862.0,5588.0,4355.0,1233.0
77010,154.0,45.0,45.0,0.0,0.0,0.0,109.0,109.0,0.0
77011,5834.0,4452.0,2715.0,1737.0,338.0,1399.0,1382.0,1024.0,358.0
77012,6289.0,4659.0,3088.0,1571.0,750.0,821.0,1630.0,1166.0,464.0
77013,5434.0,4231.0,2710.0,1521.0,536.0,985.0,1203.0,1002.0,201.0
77014,9550.0,6684.0,3996.0,2688.0,642.0,2046.0,2866.0,2444.0,422.0
77015,16316.0,12612.0,8995.0,3617.0,1125.0,2492.0,3704.0,3011.0,693.0
77016,9176.0,6263.0,3025.0,3238.0,705.0,2533.0,2913.0,2622.0,291.0
77017,9929.0,7346.0,5375.0,1971.0,793.0,1178.0,2583.0,2097.0,486.0
77018,11082.0,6547.0,4403.0,2144.0,842.0,1302.0,4535.0,3559.0,976.0
77019,9908.0,4504.0,3467.0,1037.0,219.0,818.0,5404.0,4142.0,1262.0
77020,7948.0,5649.0,3092.0,2557.0,536.0,2021.0,2299.0,1913.0,386.0
77021,9667.0,5459.0,2513.0,2946.0,777.0,2169.0,4208.0,3474.0,734.0
77022,9018.0,6203.0,3539.0,2664.0,715.0,1949.0,2815.0,2531.0,284.0
77023,9456.0,6650.0,3913.0,2737.0,1048.0,1689.0,2806.0,2023.0,783.0
77024,14369.0,9642.0,8268.0,1374.0,340.0,1034.0,4727.0,4388.0,339.0
