Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77025,11351.0,6295.0,4927.0,1368.0,270.0,1098.0,5056.0,4409.0,647.0
77026,8399.0,5480.0,2261.0,3219.0,719.0,2500.0,2919.0,2476.0,443.0
77027,8625.0,3303.0,2795.0,508.0,142.0,366.0,5322.0,4464.0,858.0
77028,5766.0,4047.0,1916.0,2131.0,323.0,1808.0,1719.0,1550.0,169.0
77029,5658.0,3901.0,2390.0,1511.0,368.0,1143.0,1757.0,1517.0,240.0
77030,5434.0,2450.0,2058.0,392.0,42.0,350.0,2984.0,2265.0,719.0
77031,5501.0,3680.0,2430.0,1250.0,286.0,964.0,1821.0,1510.0,311.0
77032,4034.0,2884.0,1154.0,1730.0,241.0,1489.0,1150.0,1029.0,121.0
77033,9038.0,6612.0,2888.0,3724.0,878.0,2846.0,2426.0,2220.0,206.0
77034,11152.0,7653.0,4998.0,2655.0,723.0,1932.0,3499.0,2768.0,731.0
77035,13283.0,8383.0,4664.0,3719.0,748.0,2971.0,4900.0,3927.0,973.0
77036,23004.0,14372.0,8175.0,6197.0,1784.0,4413.0,8632.0,6557.0,2075.0
77037,5038.0,4427.0,2884.0,1543.0,467.0,1076.0,611.0,525.0,86.0
77038,7106.0,5897.0,3550.0,2347.0,864.0,1483.0,1209.0,979.0,230.0
77039,7002.0,5734.0,3486.0,2248.0,835.0,1413.0,1268.0,920.0,348.0
77040,15148.0,10592.0,7577.0,3015.0,862.0,2153.0,4556.0,3817.0,739.0
77041,11258.0,8634.0,6911.0,1723.0,534.0,1189.0,2624.0,2010.0,614.0
77042,16512.0,7950.0,4627.0,3323.0,866.0,2457.0,8562.0,7425.0,1137.0
77043,7986.0,5530.0,3829.0,1701.0,416.0,1285.0,2456.0,2138.0,318.0
77044,8821.0,7502.0,5938.0,1564.0,392.0,1172.0,1319.0,1112.0,207.0
77045,9107.0,6923.0,3950.0,2973.0,584.0,2389.0,2184.0,1887.0,297.0
77046,695.0,135.0,110.0,25.0,0.0,25.0,560.0,524.0,36.0
77047,7596.0,5048.0,2938.0,2110.0,580.0,1530.0,2548.0,2218.0,330.0
77048,5172.0,3507.0,1345.0,2162.0,297.0,1865.0,1665.0,1447.0,218.0
77049,8075.0,6527.0,4536.0,1991.0,636.0,1355.0,1548.0,1197.0,351.0
77050,1318.0,1165.0,727.0,438.0,165.0,273.0,153.0,117.0,36.0
77051,5526.0,3526.0,1257.0,2269.0,297.0,1972.0,2000.0,1757.0,243.0
77054,11439.0,4404.0,2813.0,1591.0,419.0,1172.0,7035.0,5691.0,1344.0
77055,14111.0,9761.0,6394.0,3367.0,1052.0,2315.0,4350.0,3443.0,907.0
77056,9321.0,4209.0,3837.0,372.0,132.0,240.0,5112.0,4519.0,593.0
77057,19759.0,7904.0,5676.0,2228.0,806.0,1422.0,11855.0,10061.0,1794.0
77058,8551.0,3682.0,2490.0,1192.0,476.0,716.0,4869.0,4078.0,791.0
77059,6105.0,5316.0,4950.0,366.0,95.0,271.0,789.0,544.0,245.0
77060,13429.0,9454.0,4601.0,4853.0,1563.0,3290.0,3975.0,3093.0,882.0
77061,8408.0,5414.0,3126.0,2288.0,717.0,1571.0,2994.0,2422.0,572.0
77062,9444.0,7149.0,5929.0,1220.0,378.0,842.0,2295.0,1819.0,476.0
77063,17108.0,7225.0,4916.0,2309.0,537.0,1772.0,9883.0,8217.0,1666.0
77064,14692.0,10510.0,7838.0,2672.0,1005.0,1667.0,4182.0,3488.0,694.0
77065,13539.0,8552.0,6078.0,2474.0,581.0,1893.0,4987.0,4360.0,627.0
77066,9432.0,7820.0,5652.0,2168.0,645.0,1523.0,1612.0,1336.0,276.0
77067,8688.0,6701.0,3290.0,3411.0,936.0,2475.0,1987.0,1688.0,299.0
77068,3506.0,2495.0,1863.0,632.0,228.0,404.0,1011.0,815.0,196.0
77069,7073.0,4168.0,3473.0,695.0,151.0,544.0,2905.0,2544.0,361.0
77070,16598.0,11076.0,8397.0,2679.0,660.0,2019.0,5522.0,4496.0,1026.0
77071,9245.0,6183.0,3843.0,2340.0,361.0,1979.0,3062.0,2760.0,302.0
77072,17091.0,13243.0,7235.0,6008.0,1703.0,4305.0,3848.0,3218.0,630.0
77073,10717.0,8124.0,5359.0,2765.0,822.0,1943.0,2593.0,2068.0,525.0
77074,11913.0,8016.0,4944.0,3072.0,883.0,2189.0,3897.0,3156.0,741.0
77075,11227.0,9106.0,5856.0,3250.0,714.0,2536.0,2121.0,1489.0,632.0
77076,8768.0,7251.0,4612.0,2639.0,831.0,1808.0,1517.0,1297.0,220.0
77077,23527.0,13197.0,9378.0,3819.0,737.0,3082.0,10330.0,8806.0,1524.0
77078,4499.0,3644.0,1880.0,1764.0,174.0,1590.0,855.0,749.0,106.0
77079,11870.0,8336.0,6575.0,1761.0,528.0,1233.0,3534.0,3151.0,383.0
77080,15063.0,10203.0,6609.0,3594.0,1283.0,2311.0,4860.0,3794.0,1066.0
77081,15786.0,9496.0,5354.0,4142.0,1679.0,2463.0,6290.0,4948.0,1342.0
77082,19005.0,11362.0,7748.0,3614.0,964.0,2650.0,7643.0,6462.0,1181.0
77083,19734.0,16402.0,11894.0,4508.0,1184.0,3324.0,3332.0,2862.0,470.0
77084,30109.0,22812.0,16839.0,5973.0,2055.0,3918.0,7297.0,5651.0,1646.0
77085,4585.0,3484.0,2116.0,1368.0,538.0,830.0,1101.0,943.0,158.0
77086,7684.0,5982.0,3496.0,2486.0,523.0,1963.0,1702.0,1434.0,268.0
77087,10866.0,8188.0,5499.0,2689.0,852.0,1837.0,2678.0,2170.0,508.0
77088,15757.0,11838.0,6749.0,5089.0,1321.0,3768.0,3919.0,3409.0,510.0
77089,15630.0,12217.0,8827.0,3390.0,1119.0,2271.0,3413.0,2684.0,729.0
77090,12678.0,7747.0,4002.0,3745.0,659.0,3086.0,4931.0,4154.0,777.0
77091,8472.0,5307.0,2740.0,2567.0,643.0,1924.0,3165.0,2612.0,553.0
77092,12495.0,7882.0,4673.0,3209.0,794.0,2415.0,4613.0,3859.0,754.0
77093,11436.0,8951.0,5745.0,3206.0,833.0,2373.0,2485.0,2147.0,338.0
77094,2838.0,2442.0,2228.0,214.0,45.0,169.0,396.0,370.0,26.0
77095,22151.0,16870.0,13771.0,3099.0,851.0,2248.0,5281.0,4377.0,904.0
77096,13239.0,8400.0,6219.0,2181.0,540.0,1641.0,4839.0,4002.0,837.0
77098,7218.0,2109.0,1701.0,408.0,184.0,224.0,5109.0,4092.0,1017.0
77099,14826.0,10709.0,6272.0,4437.0,1332.0,3105.0,4117.0,3687.0,430.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,4190.0,3188.0,2629.0,559.0,104.0,455.0,1002.0,836.0,166.0
77338,10769.0,7444.0,4559.0,2885.0,726.0,2159.0,3325.0,2439.0,886.0
77339,14780.0,10323.0,8306.0,2017.0,472.0,1545.0,4457.0,3731.0,726.0
77345,9148.0,7621.0,7139.0,482.0,79.0,403.0,1527.0,1202.0,325.0
77346,16808.0,13939.0,11540.0,2399.0,629.0,1770.0,2869.0,2405.0,464.0
77373,17660.0,13969.0,10188.0,3781.0,1115.0,2666.0,3691.0,3039.0,652.0
77375,12728.0,9579.0,7042.0,2537.0,972.0,1565.0,3149.0,2431.0,718.0
77377,8782.0,7356.0,6374.0,982.0,250.0,732.0,1426.0,1102.0,324.0
77379,22735.0,18680.0,16030.0,2650.0,932.0,1718.0,4055.0,3284.0,771.0
77388,13326.0,10904.0,9091.0,1813.0,455.0,1358.0,2422.0,1978.0,444.0
77389,6641.0,5463.0,4779.0,684.0,152.0,532.0,1178.0,998.0,180.0
77396,12379.0,9677.0,6778.0,2899.0,526.0,2373.0,2702.0,2230.0,472.0
77401,6574.0,4740.0,4008.0,732.0,289.0,443.0,1834.0,1602.0,232.0
77429,22864.0,19013.0,16053.0,2960.0,788.0,2172.0,3851.0,3009.0,842.0
77433,13441.0,11321.0,9615.0,1706.0,485.0,1221.0,2120.0,1674.0,446.0
77447,3687.0,2975.0,2292.0,683.0,215.0,468.0,712.0,580.0,132.0
77449,25616.0,21412.0,15877.0,5535.0,1605.0,3930.0,4204.0,3336.0,868.0
77450,22581.0,18646.0,15553.0,3093.0,801.0,2292.0,3935.0,3371.0,564.0
77484,3552.0,2679.0,2303.0,376.0,185.0,191.0,873.0,595.0,278.0
77493,6712.0,5654.0,4599.0,1055.0,457.0,598.0,1058.0,823.0,235.0
77502,10900.0,8175.0,5658.0,2517.0,515.0,2002.0,2725.0,2372.0,353.0
77503,7711.0,5648.0,3894.0,1754.0,536.0,1218.0,2063.0,1648.0,415.0
77504,8421.0,5767.0,3672.0,2095.0,702.0,1393.0,2654.0,2220.0,434.0
77505,8010.0,6298.0,4917.0,1381.0,318.0,1063.0,1712.0,1506.0,206.0
77506,10546.0,8031.0,5275.0,2756.0,848.0,1908.0,2515.0,1991.0,524.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,11955.0,8490.0,5759.0,2731.0,694.0,2037.0,3465.0,2804.0,661.0
77521,16230.0,12061.0,8326.0,3735.0,933.0,2802.0,4169.0,3591.0,578.0
77530,8937.0,7259.0,4858.0,2401.0,698.0,1703.0,1678.0,1291.0,387.0
77532,8480.0,6773.0,5182.0,1591.0,610.0,981.0,1707.0,1402.0,305.0
77536,10348.0,8504.0,6618.0,1886.0,612.0,1274.0,1844.0,1540.0,304.0
77547,2668.0,2228.0,1482.0,746.0,198.0,548.0,440.0,323.0,117.0
77562,3574.0,2591.0,1961.0,630.0,226.0,404.0,983.0,751.0,232.0
77571,12095.0,9401.0,6924.0,2477.0,718.0,1759.0,2694.0,1973.0,721.0
77586,8144.0,5332.0,4506.0,826.0,294.0,532.0,2812.0,2367.0,445.0
77587,4779.0,3717.0,2577.0,1140.0,270.0,870.0,1062.0,822.0,240.0
77598,9899.0,5014.0,2687.0,2327.0,765.0,1562.0,4885.0,3950.0,935.0
