Zipcode,Employment Status Total Estimate,Estimate Total In labor force,Estimate Total Not in labor force
77002,11781.0,3493.0,8288.0
77003,8412.0,6071.0,2341.0
77004,31902.0,19317.0,12585.0
77005,21476.0,13352.0,8124.0
77006,20010.0,16003.0,4007.0
77007,29812.0,25002.0,4810.0
77008,27036.0,21721.0,5315.0
77009,31066.0,20794.0,10272.0
77010,771.0,581.0,190.0
77011,14130.0,8572.0,5558.0
77012,15512.0,10209.0,5303.0
77013,15192.0,9546.0,5646.0
77014,24103.0,16231.0,7872.0
77015,40560.0,27484.0,13076.0
77016,21030.0,11416.0,9614.0
77017,25086.0,15801.0,9285.0
77018,21832.0,14889.0,6943.0
77019,18057.0,13899.0,4158.0
77020,19062.0,11424.0,7638.0
77021,21033.0,12978.0,8055.0
77022,21534.0,13170.0,8364.0
77023,21438.0,14363.0,7075.0
77024,29080.0,17667.0,11413.0
77025,22819.0,15801.0,7018.0
77026,17067.0,9023.0,8044.0
77027,14302.0,11115.0,3187.0
77028,11320.0,6742.0,4578.0
77029,13415.0,7888.0,5527.0
77030,8615.0,5986.0,2629.0
77031,13298.0,9938.0,3360.0
77032,8631.0,4615.0,4016.0
77033,21021.0,11550.0,9471.0
77034,27919.0,20074.0,7845.0
77035,27180.0,19176.0,8004.0
77036,54189.0,37902.0,16287.0
77037,14793.0,9788.0,5005.0
77038,19771.0,13365.0,6406.0
77039,20825.0,13093.0,7732.0
77040,36445.0,26492.0,9953.0
77041,27876.0,19335.0,8541.0
77042,31306.0,24031.0,7275.0
77043,19702.0,13948.0,5754.0
77044,25530.0,17493.0,8037.0
77045,24560.0,15838.0,8722.0
77046,940.0,635.0,305.0
77047,19227.0,13330.0,5897.0
77048,12379.0,7547.0,4832.0
77049,22809.0,15702.0,7107.0
77050,3589.0,2266.0,1323.0
77051,11539.0,6441.0,5098.0
77054,20206.0,15184.0,5022.0
77055,32153.0,22064.0,10089.0
77056,16588.0,11354.0,5234.0
77057,33108.0,25106.0,8002.0
77058,14384.0,10433.0,3951.0
77059,14152.0,9215.0,4937.0
77060,30178.0,20495.0,9683.0
77061,18902.0,12837.0,6065.0
77062,21260.0,14722.0,6538.0
77063,29649.0,21676.0,7973.0
77064,36809.0,25391.0,11418.0
77065,29966.0,21234.0,8732.0
77066,24631.0,16921.0,7710.0
77067,22816.0,15458.0,7358.0
77068,8987.0,5947.0,3040.0
77069,14693.0,9793.0,4900.0
77070,38733.0,28177.0,10556.0
77071,22007.0,15113.0,6894.0
77072,45137.0,31622.0,13515.0
77073,29186.0,21468.0,7718.0
77074,28023.0,19214.0,8809.0
77075,30517.0,20405.0,10112.0
77076,23640.0,14742.0,8898.0
77077,44510.0,33066.0,11444.0
77078,11872.0,6828.0,5044.0
77079,25134.0,15886.0,9248.0
77080,35709.0,25030.0,10679.0
77081,32111.0,24048.0,8063.0
77082,42694.0,31112.0,11582.0
77083,56431.0,37484.0,18947.0
77084,77389.0,55672.0,21717.0
77085,12915.0,8931.0,3984.0
77086,20562.0,13384.0,7178.0
77087,26896.0,16888.0,10008.0
77088,40325.0,25629.0,14696.0
77089,41618.0,28799.0,12819.0
77090,26492.0,19414.0,7078.0
77091,18041.0,10924.0,7117.0
77092,27679.0,19014.0,8665.0
77093,30796.0,17971.0,12825.0
77094,6778.0,4498.0,2280.0
77095,54079.0,38906.0,15173.0
77096,28024.0,19144.0,8880.0
77098,11359.0,9328.0,2031.0
77099,35635.0,24150.0,11485.0
77201,0.0,0.0,0.0
77336,9199.0,6006.0,3193.0
77338,28098.0,19343.0,8755.0
77339,32229.0,22021.0,10208.0
77345,22286.0,14276.0,8010.0
77346,43856.0,31238.0,12618.0
77373,42088.0,30261.0,11827.0
77375,31573.0,21189.0,10384.0
77377,23948.0,15955.0,7993.0
77379,57520.0,39616.0,17904.0
77388,33750.0,23335.0,10415.0
77389,20252.0,14084.0,6168.0
77396,35639.0,25726.0,9913.0
77401,13993.0,9320.0,4673.0
77429,57356.0,40995.0,16361.0
77433,43976.0,31629.0,12347.0
77447,10024.0,6041.0,3983.0
77449,75475.0,56145.0,19330.0
77450,55692.0,38620.0,17072.0
77484,8662.0,5314.0,3348.0
77493,19682.0,14376.0,5306.0
77502,27674.0,17483.0,10191.0
77503,18150.0,11584.0,6566.0
77504,18036.0,12006.0,6030.0
77505,18681.0,13215.0,5466.0
77506,25545.0,16079.0,9466.0
77507,0.0,0.0,0.0
77520,28176.0,17284.0,10892.0
77521,39323.0,25831.0,13492.0
77530,21635.0,14430.0,7205.0
77532,21526.0,13443.0,8083.0
77536,24836.0,16938.0,7898.0
77547,7127.0,4696.0,2431.0
77562,8133.0,5022.0,3111.0
77571,28813.0,19887.0,8926.0
77586,17648.0,12214.0,5434.0
77587,11909.0,7577.0,4332.0
77598,18906.0,14809.0,4097.0
