Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77055,11774.0,852.0,759.0,3288.0,3364.0,2142.0,1090.0,279.0,29575.0
77056,2486.0,144.0,94.0,213.0,246.0,327.0,1031.0,431.0,13378.0
77057,6642.0,544.0,398.0,1742.0,1249.0,674.0,1393.0,642.0,30720.0
77058,4418.0,170.0,182.0,407.0,458.0,654.0,1458.0,1089.0,11485.0
77059,6338.0,239.0,238.0,1216.0,1743.0,1740.0,828.0,334.0,12306.0
77060,12457.0,865.0,1266.0,3528.0,2844.0,2388.0,1484.0,82.0,28650.0
77061,6213.0,330.0,350.0,1538.0,1400.0,1505.0,989.0,101.0,16439.0
77062,6766.0,592.0,255.0,1415.0,1284.0,1667.0,1228.0,325.0,17738.0
77063,7186.0,530.0,378.0,1255.0,988.0,1040.0,2256.0,739.0,26923.0
77064,12540.0,562.0,571.0,2706.0,2880.0,2900.0,2443.0,478.0,29560.0
77065,10553.0,556.0,609.0,2059.0,2237.0,2218.0,2331.0,543.0,23766.0
77066,8754.0,242.0,434.0,1927.0,1854.0,2450.0,1655.0,192.0,21458.0
77067,9702.0,537.0,810.0,2311.0,1945.0,2321.0,1656.0,122.0,17952.0
77068,2646.0,181.0,95.0,651.0,595.0,349.0,666.0,109.0,7274.0
77069,3277.0,174.0,211.0,671.0,598.0,534.0,910.0,179.0,11568.0
77070,11392.0,610.0,583.0,2294.0,2280.0,2548.0,2583.0,494.0,31886.0
77071,7386.0,490.0,245.0,1669.0,1577.0,1661.0,1300.0,444.0,17920.0
77072,15736.0,596.0,1115.0,3114.0,3549.0,3613.0,3448.0,301.0,36291.0
77073,12519.0,648.0,958.0,3636.0,2519.0,2335.0,2000.0,423.0,22254.0
77074,9608.0,720.0,620.0,2380.0,2011.0,1704.0,1972.0,201.0,23668.0
77075,11591.0,840.0,781.0,2886.0,2663.0,2192.0,1976.0,253.0,24561.0
77076,10098.0,638.0,884.0,2283.0,2254.0,2724.0,1192.0,123.0,21056.0
