Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k
77562,17.0,130.0,173.0,255.0,252.0,133.0,233.0,301.0,227.0,326.0,958.0,365.0,143.0,25.0
77571,4.0,184.0,280.0,399.0,845.0,879.0,743.0,553.0,741.0,699.0,3624.0,2343.0,817.0,166.0
77586,0.0,25.0,34.0,116.0,226.0,313.0,482.0,706.0,713.0,636.0,1556.0,1301.0,2111.0,17.0
77587,13.0,143.0,230.0,467.0,333.0,588.0,580.0,256.0,351.0,279.0,1051.0,229.0,54.0,143.0
77598,0.0,9.0,64.0,87.0,178.0,404.0,920.0,1279.0,1425.0,1341.0,3228.0,668.0,207.0,95.0
77002,9.0,0.0,84.0,8.0,172.0,115.0,111.0,155.0,122.0,102.0,1153.0,506.0,457.0,41.0
77003,29.0,174.0,99.0,221.0,519.0,330.0,339.0,213.0,161.0,314.0,583.0,644.0,510.0,119.0
77004,32.0,203.0,419.0,409.0,616.0,1292.0,1315.0,1150.0,780.0,500.0,2210.0,1556.0,1785.0,269.0
77005,0.0,0.0,3.0,18.0,10.0,78.0,234.0,292.0,239.0,83.0,1314.0,1477.0,5533.0,139.0
77006,10.0,0.0,23.0,41.0,176.0,485.0,758.0,954.0,1252.0,865.0,2496.0,1852.0,2538.0,145.0
77007,20.0,70.0,204.0,295.0,402.0,406.0,377.0,603.0,895.0,805.0,3685.0,2656.0,5277.0,245.0
77008,9.0,156.0,316.0,349.0,675.0,707.0,658.0,1274.0,897.0,947.0,2894.0,1839.0,3693.0,328.0
77009,153.0,179.0,547.0,876.0,911.0,1036.0,1567.0,1029.0,882.0,875.0,2991.0,1452.0,1176.0,372.0
77010,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,337.0,0.0
77011,14.0,200.0,451.0,716.0,634.0,754.0,689.0,280.0,434.0,304.0,699.0,55.0,17.0,260.0
77012,101.0,183.0,307.0,409.0,455.0,1009.0,959.0,656.0,513.0,265.0,962.0,71.0,96.0,235.0
77013,22.0,96.0,369.0,216.0,246.0,642.0,533.0,662.0,725.0,446.0,1258.0,136.0,58.0,64.0
