Zipcode,Estimate!!Total,Estimate!!Total!!Below 100 percent of the poverty level,Estimate!!Total!!100 to 149 percent of the poverty level,Estimate!!Total!!At or above 150 percent of the poverty level,Estimate!!Total!!Same house 1 year ago,Estimate!!Total!!Same house 1 year ago!!Below 100 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!100 to 149 percent of the poverty level,Estimate!!Total!!Same house 1 year ago!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved within same county,Estimate!!Total!!Moved within same county!!Below 100 percent of the poverty level,Estimate!!Total!!Moved within same county!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved within same county!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different county within same state,Estimate!!Total!!Moved from different county within same state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different county within same state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from different state,Estimate!!Total!!Moved from different state!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from different state!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from different state!!At or above 150 percent of the poverty level,Estimate!!Total!!Moved from abroad,Estimate!!Total!!Moved from abroad!!Below 100 percent of the poverty level,Estimate!!Total!!Moved from abroad!!100 to 149 percent of the poverty level,Estimate!!Total!!Moved from abroad!!At or above 150 percent of the poverty level
77002,4109.0,762.0,208.0,3139.0,2513.0,399.0,120.0,1994.0,931.0,213.0,79.0,639.0,296.0,119.0,9.0,168.0,314.0,18.0,0.0,296.0,55.0,13.0,0.0,42.0
77003,9517.0,3211.0,950.0,5356.0,7636.0,2407.0,866.0,4363.0,1401.0,585.0,52.0,764.0,346.0,171.0,32.0,143.0,105.0,19.0,0.0,86.0,29.0,29.0,0.0,0.0
77004,24467.0,7306.0,2188.0,14973.0,17693.0,4576.0,1440.0,11677.0,4523.0,1962.0,635.0,1926.0,1069.0,422.0,72.0,575.0,662.0,150.0,0.0,512.0,520.0,196.0,41.0,283.0
77005,23477.0,812.0,290.0,22375.0,19858.0,488.0,210.0,19160.0,1784.0,56.0,9.0,1719.0,527.0,90.0,0.0,437.0,692.0,157.0,9.0,526.0,616.0,21.0,62.0,533.0
77006,19862.0,2635.0,1690.0,15537.0,13931.0,1546.0,1220.0,11165.0,3978.0,766.0,319.0,2893.0,803.0,266.0,53.0,484.0,764.0,5.0,80.0,679.0,386.0,52.0,18.0,316.0
77007,27216.0,2734.0,1973.0,22509.0,21078.0,1715.0,1726.0,17637.0,4231.0,749.0,184.0,3298.0,511.0,120.0,27.0,364.0,978.0,150.0,36.0,792.0,418.0,0.0,0.0,418.0
77008,28867.0,3113.0,2239.0,23515.0,23161.0,2329.0,1624.0,19208.0,4280.0,268.0,522.0,3490.0,645.0,280.0,16.0,349.0,564.0,79.0,77.0,408.0,217.0,157.0,0.0,60.0
77009,37690.0,9071.0,5104.0,23515.0,31661.0,7244.0,4412.0,20005.0,5193.0,1689.0,661.0,2843.0,341.0,68.0,12.0,261.0,294.0,68.0,0.0,226.0,201.0,2.0,19.0,180.0
77010,198.0,36.0,0.0,162.0,51.0,0.0,0.0,51.0,115.0,36.0,0.0,79.0,32.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77011,19932.0,6720.0,3762.0,9450.0,16287.0,4736.0,3203.0,8348.0,3071.0,1765.0,390.0,916.0,114.0,74.0,19.0,21.0,263.0,27.0,108.0,128.0,197.0,118.0,42.0,37.0
