Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77586,87543.0,8580.0,195.0,279.0,132.0,255.0,259.0,272.0,165.0,571.0,240.0,667.0,800.0,894.0,985.0,785.0,902.0,1179.0
77587,41840.0,4551.0,311.0,286.0,315.0,335.0,240.0,250.0,314.0,354.0,310.0,400.0,408.0,477.0,277.0,189.0,41.0,44.0
77598,48059.0,10354.0,502.0,358.0,462.0,624.0,640.0,745.0,826.0,637.0,640.0,890.0,1347.0,1303.0,651.0,255.0,276.0,198.0
77002,68229.0,3248.0,353.0,227.0,69.0,61.0,39.0,46.0,57.0,176.0,128.0,258.0,409.0,400.0,224.0,161.0,268.0,372.0
77003,46267.0,4434.0,495.0,450.0,284.0,172.0,210.0,275.0,108.0,185.0,118.0,199.0,309.0,426.0,284.0,321.0,396.0,202.0
77004,50681.0,13097.0,1684.0,1020.0,743.0,645.0,470.0,426.0,449.0,632.0,398.0,888.0,896.0,993.0,766.0,917.0,1062.0,1108.0
77005,174153.0,9899.0,295.0,267.0,209.0,96.0,213.0,137.0,231.0,161.0,110.0,266.0,565.0,749.0,636.0,544.0,910.0,4510.0
77006,80908.0,12159.0,576.0,432.0,349.0,462.0,580.0,335.0,412.0,346.0,254.0,1059.0,1030.0,1061.0,1271.0,870.0,1223.0,1899.0
77007,113361.0,18345.0,635.0,556.0,278.0,563.0,314.0,564.0,401.0,225.0,251.0,791.0,1536.0,2078.0,1865.0,1594.0,2361.0,4333.0
77008,88248.0,15671.0,564.0,336.0,528.0,382.0,529.0,711.0,658.0,278.0,530.0,1008.0,1434.0,1503.0,1467.0,981.0,1750.0,3012.0
77009,47011.0,14260.0,1321.0,1124.0,934.0,823.0,775.0,710.0,589.0,669.0,605.0,847.0,806.0,1594.0,910.0,612.0,801.0,1140.0
