Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k,Cost from $3k and more
77002,0.0,0.0,90.0,89.0,170.0,129.0,133.0,151.0,59.0,133.0,1188.0,555.0,268.0,79.0,73.0
77003,35.0,167.0,161.0,172.0,411.0,238.0,287.0,233.0,213.0,231.0,749.0,772.0,424.0,127.0,31.0
77004,121.0,199.0,437.0,435.0,513.0,1061.0,1145.0,1041.0,859.0,462.0,2319.0,2004.0,1224.0,534.0,346.0
77005,12.0,34.0,21.0,72.0,31.0,58.0,256.0,255.0,237.0,198.0,1194.0,1285.0,1191.0,975.0,3731.0
77006,11.0,0.0,70.0,61.0,145.0,505.0,571.0,849.0,1296.0,1053.0,2501.0,1832.0,850.0,632.0,1326.0
77007,8.0,39.0,160.0,203.0,403.0,315.0,402.0,463.0,821.0,696.0,4054.0,3110.0,2559.0,1795.0,1997.0
77008,18.0,97.0,186.0,268.0,565.0,533.0,473.0,1034.0,906.0,1141.0,3356.0,2113.0,1784.0,1299.0,1314.0
77009,148.0,279.0,652.0,749.0,969.0,1228.0,1292.0,875.0,1009.0,1033.0,2519.0,1508.0,637.0,296.0,538.0
77010,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.0,0.0,0.0,8.0,34.0,67.0,119.0,249.0
77011,20.0,166.0,403.0,517.0,708.0,828.0,588.0,487.0,383.0,408.0,821.0,43.0,19.0,23.0,0.0
77012,63.0,134.0,410.0,529.0,539.0,891.0,957.0,648.0,424.0,423.0,841.0,54.0,8.0,4.0,0.0
77013,13.0,161.0,337.0,147.0,377.0,608.0,491.0,747.0,802.0,595.0,1225.0,153.0,15.0,0.0,0.0
77014,13.0,87.0,185.0,301.0,292.0,974.0,1390.0,842.0,1073.0,960.0,3049.0,1601.0,238.0,22.0,11.0
77015,15.0,358.0,729.0,947.0,1100.0,1540.0,1947.0,1891.0,1474.0,1686.0,4135.0,894.0,243.0,16.0,35.0
77016,103.0,597.0,1077.0,1029.0,799.0,746.0,807.0,960.0,677.0,496.0,1252.0,160.0,5.0,2.0,9.0
77017,67.0,192.0,377.0,657.0,700.0,998.0,1323.0,1145.0,836.0,782.0,2290.0,467.0,13.0,0.0,0.0
77018,28.0,164.0,217.0,357.0,586.0,898.0,1072.0,877.0,635.0,421.0,1640.0,1510.0,1009.0,557.0,704.0
77019,15.0,97.0,135.0,137.0,117.0,104.0,407.0,409.0,593.0,459.0,1962.0,2066.0,1129.0,771.0,1747.0
