Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77071,8057.0,425.0,336.0,1645.0,1791.0,1648.0,1745.0,467.0,18375.0
77072,18154.0,713.0,1020.0,3781.0,3789.0,4616.0,3954.0,281.0,40210.0
77073,14617.0,752.0,683.0,3112.0,2964.0,3225.0,3494.0,387.0,25120.0
77074,10322.0,547.0,937.0,2409.0,2025.0,1622.0,2423.0,359.0,25706.0
77075,12999.0,1125.0,658.0,2750.0,2946.0,2456.0,2704.0,360.0,27591.0
77076,10121.0,513.0,653.0,2894.0,2264.0,2513.0,1212.0,72.0,22653.0
77077,13162.0,1282.0,863.0,2240.0,1785.0,2663.0,3197.0,1132.0,40707.0
77078,4743.0,376.0,253.0,986.0,1210.0,1220.0,662.0,36.0,10859.0
77079,9636.0,854.0,514.0,2262.0,2316.0,2057.0,1095.0,538.0,22557.0
77080,12055.0,539.0,734.0,3601.0,2565.0,2610.0,1657.0,349.0,32468.0
77081,13900.0,913.0,1266.0,3865.0,3000.0,2091.0,2091.0,674.0,30232.0
77082,14300.0,889.0,578.0,2889.0,2735.0,2591.0,3846.0,772.0,38660.0
77083,22810.0,1128.0,1435.0,4710.0,4295.0,4637.0,5823.0,782.0,49078.0
77084,31165.0,1728.0,1717.0,6216.0,7006.0,6950.0,6326.0,1222.0,67866.0
77085,5578.0,325.0,217.0,1335.0,1394.0,1087.0,1137.0,83.0,11346.0
77086,8744.0,475.0,687.0,1703.0,2464.0,1946.0,1335.0,134.0,18310.0
77087,10753.0,635.0,654.0,2505.0,2137.0,2593.0,2140.0,89.0,24119.0
77088,15382.0,719.0,882.0,4065.0,3462.0,3459.0,2576.0,219.0,37555.0
77089,15843.0,831.0,894.0,2402.0,3098.0,3406.0,4242.0,970.0,34334.0
77090,11823.0,633.0,683.0,2759.0,2083.0,2125.0,3028.0,512.0,24019.0
77091,6026.0,464.0,376.0,1520.0,1128.0,1123.0,1267.0,148.0,16229.0
77092,9741.0,547.0,707.0,2415.0,2133.0,2197.0,1506.0,236.0,27019.0
77093,12871.0,904.0,930.0,3360.0,3051.0,2871.0,1591.0,164.0,28485.0
77094,2779.0,147.0,124.0,469.0,806.0,699.0,359.0,175.0,5984.0
77095,21393.0,1566.0,912.0,4949.0,4050.0,5085.0,3568.0,1263.0,47617.0
77096,10043.0,882.0,640.0,2418.0,1794.0,1733.0,1851.0,725.0,25642.0
77098,2150.0,148.0,46.0,291.0,265.0,175.0,508.0,717.0,10608.0
77099,15063.0,941.0,569.0,3500.0,3298.0,2765.0,3375.0,615.0,33316.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,2998.0,211.0,153.0,806.0,483.0,885.0,434.0,26.0,8534.0
77338,11610.0,903.0,548.0,2572.0,2523.0,1985.0,2473.0,606.0,24548.0
77339,10956.0,445.0,759.0,2046.0,2385.0,2515.0,2507.0,299.0,28900.0
77345,9399.0,510.0,305.0,1884.0,2400.0,2178.0,1617.0,505.0,19492.0
77346,19673.0,1413.0,1350.0,4458.0,4890.0,3923.0,2807.0,832.0,38918.0
77373,17816.0,1025.0,1006.0,3575.0,3984.0,4156.0,3553.0,517.0,38757.0
77375,13439.0,1065.0,1036.0,3344.0,3181.0,2643.0,1716.0,454.0,30476.0
77377,11299.0,928.0,585.0,3099.0,2066.0,2206.0,1951.0,464.0,22534.0
77379,22666.0,1795.0,1421.0,4750.0,4763.0,4702.0,4076.0,1159.0,52696.0
77388,12498.0,901.0,580.0,2507.0,1921.0,3070.0,3076.0,443.0,30091.0
77389,8919.0,978.0,975.0,2226.0,1883.0,1307.0,1153.0,397.0,19719.0
77396,15333.0,1015.0,1252.0,3421.0,3387.0,2569.0,2794.0,895.0,32360.0
77401,5315.0,597.0,323.0,1222.0,1119.0,1261.0,581.0,212.0,12620.0
77429,24349.0,1693.0,1442.0,5512.0,5695.0,5231.0,3952.0,824.0,54164.0
77433,22665.0,1558.0,1368.0,5577.0,5234.0,5358.0,2784.0,786.0,42424.0
77447,4518.0,377.0,196.0,749.0,1270.0,1171.0,745.0,10.0,10126.0
77449,36801.0,2323.0,1493.0,9641.0,7288.0,7487.0,7426.0,1143.0,70843.0
77450,22663.0,1607.0,1293.0,3933.0,5597.0,4970.0,4242.0,1021.0,49012.0
77484,2375.0,303.0,88.0,542.0,555.0,495.0,353.0,39.0,7792.0
77493,7715.0,586.0,340.0,1702.0,1469.0,2291.0,1124.0,203.0,18392.0
77502,11092.0,609.0,374.0,2786.0,2782.0,2670.0,1693.0,178.0,25125.0
77503,7761.0,555.0,547.0,1681.0,1840.0,1540.0,1522.0,76.0,16316.0
77504,6951.0,412.0,459.0,1873.0,1529.0,1144.0,1351.0,183.0,15873.0
77505,6713.0,471.0,464.0,1456.0,1055.0,1485.0,1511.0,271.0,16415.0
77506,10631.0,674.0,583.0,3262.0,2496.0,2358.0,1212.0,46.0,24369.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,10334.0,624.0,693.0,2360.0,2476.0,2091.0,1968.0,122.0,25608.0
77521,16528.0,710.0,875.0,4182.0,3427.0,3563.0,3522.0,249.0,37355.0
77530,9206.0,532.0,572.0,2326.0,2080.0,2087.0,1529.0,80.0,19972.0
77532,8452.0,785.0,374.0,1744.0,1645.0,2252.0,1377.0,275.0,19684.0
77536,8967.0,530.0,456.0,1753.0,1682.0,2035.0,2276.0,235.0,21830.0
77547,3141.0,180.0,311.0,766.0,857.0,537.0,490.0,0.0,6475.0
77562,2608.0,164.0,54.0,650.0,453.0,698.0,502.0,87.0,7569.0
77571,10164.0,599.0,470.0,1968.0,2236.0,2442.0,2140.0,309.0,25662.0
