Zipcode,Total enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,Enrolled in grade 1 to grade 4,Enrolled in grade 5 to grade 8,Enrolled in grade 9 to grade 12,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school
77586,5667.0,357.0,362.0,1048.0,1187.0,1582.0,897.0,234.0,15904.0
77587,5114.0,179.0,247.0,1491.0,1217.0,1124.0,813.0,43.0,10815.0
77598,5908.0,334.0,472.0,1338.0,943.0,630.0,1866.0,325.0,17033.0
77002,799.0,0.0,0.0,0.0,5.0,169.0,452.0,173.0,10973.0
77003,2691.0,217.0,170.0,487.0,462.0,441.0,719.0,195.0,7192.0
77004,15656.0,641.0,170.0,1332.0,601.0,702.0,10873.0,1337.0,20314.0
77005,9606.0,588.0,544.0,1375.0,1475.0,1385.0,3460.0,779.0,16982.0
77006,4178.0,274.0,68.0,337.0,354.0,303.0,1574.0,1268.0,17268.0
77007,5723.0,653.0,222.0,755.0,650.0,819.0,1311.0,1313.0,28206.0
77008,5003.0,650.0,165.0,1136.0,909.0,481.0,930.0,732.0,26012.0
77009,9493.0,863.0,502.0,1683.0,2250.0,1973.0,1647.0,575.0,26872.0
77010,81.0,0.0,0.0,27.0,0.0,18.0,28.0,8.0,739.0
77011,5888.0,466.0,358.0,1349.0,1564.0,1071.0,989.0,91.0,12067.0
77012,4919.0,452.0,406.0,1208.0,1063.0,924.0,813.0,53.0,14477.0
77013,5392.0,233.0,460.0,1511.0,1201.0,1205.0,721.0,61.0,14222.0
77014,10672.0,608.0,328.0,2546.0,2161.0,2021.0,2782.0,226.0,21674.0
77015,16770.0,761.0,915.0,4328.0,3815.0,4029.0,2646.0,276.0,37319.0
77016,7325.0,573.0,575.0,1645.0,1744.0,1431.0,1226.0,131.0,19382.0
77017,9327.0,717.0,603.0,1766.0,2111.0,2305.0,1682.0,143.0,21779.0
77018,6195.0,800.0,397.0,1597.0,1149.0,896.0,952.0,404.0,20341.0
77019,3569.0,253.0,181.0,410.0,626.0,704.0,791.0,604.0,16912.0
77020,6814.0,495.0,377.0,1584.0,1851.0,1431.0,1012.0,64.0,17884.0
77021,7354.0,528.0,346.0,1212.0,1211.0,1448.0,2026.0,583.0,18031.0
77022,7145.0,295.0,509.0,2043.0,1616.0,1539.0,1064.0,79.0,19482.0
77023,7555.0,473.0,442.0,1823.0,1615.0,1469.0,1539.0,194.0,19167.0
77024,10408.0,953.0,710.0,2023.0,2563.0,2492.0,1081.0,586.0,26601.0
77025,6988.0,795.0,403.0,1003.0,918.0,1107.0,1377.0,1385.0,20026.0
77026,5478.0,433.0,307.0,1346.0,1009.0,1342.0,891.0,150.0,16717.0
77027,2952.0,124.0,83.0,299.0,363.0,410.0,1013.0,660.0,12096.0
77028,3385.0,215.0,199.0,1060.0,769.0,590.0,484.0,68.0,10559.0
77029,5079.0,298.0,290.0,1531.0,1178.0,929.0,800.0,53.0,12261.0
77030,3554.0,146.0,158.0,581.0,392.0,228.0,601.0,1448.0,6686.0
77031,4725.0,264.0,564.0,870.0,985.0,791.0,1052.0,199.0,12522.0
77032,4621.0,287.0,316.0,1215.0,1164.0,1186.0,418.0,35.0,7974.0
77033,7662.0,424.0,412.0,1665.0,1977.0,1780.0,1303.0,101.0,19548.0
77034,12065.0,762.0,656.0,2827.0,2689.0,2560.0,2182.0,389.0,25015.0
77035,9790.0,812.0,519.0,2851.0,2155.0,1579.0,1317.0,557.0,25386.0
77036,20408.0,1023.0,1337.0,5766.0,5187.0,3720.0,2786.0,589.0,52933.0
77037,5737.0,338.0,444.0,1555.0,1520.0,1253.0,613.0,14.0,13390.0
77038,9632.0,417.0,770.0,2357.0,2268.0,2303.0,1439.0,78.0,18173.0
77039,8585.0,384.0,707.0,2375.0,2013.0,1984.0,1092.0,30.0,18622.0
77040,13099.0,503.0,723.0,3258.0,2332.0,2877.0,2818.0,588.0,32515.0
77041,10483.0,469.0,601.0,2319.0,2152.0,2486.0,2079.0,377.0,24603.0
77042,9689.0,837.0,478.0,1580.0,1686.0,1624.0,2601.0,883.0,28924.0
77043,6556.0,350.0,367.0,1371.0,1347.0,1534.0,1417.0,170.0,18820.0
77044,12762.0,862.0,918.0,3672.0,2887.0,2178.0,1721.0,524.0,25186.0
77045,10977.0,781.0,743.0,2736.0,2331.0,2469.0,1725.0,192.0,22093.0
77046,70.0,0.0,0.0,0.0,0.0,0.0,14.0,56.0,952.0
77047,8218.0,670.0,481.0,1795.0,1595.0,1285.0,1862.0,530.0,17194.0
77048,4950.0,225.0,184.0,907.0,1033.0,1663.0,809.0,129.0,10994.0
77049,10999.0,622.0,569.0,2735.0,1945.0,2629.0,2223.0,276.0,20066.0
77050,1322.0,53.0,104.0,357.0,258.0,268.0,282.0,0.0,3391.0
77051,4135.0,315.0,206.0,974.0,618.0,884.0,970.0,168.0,10420.0
77054,7908.0,388.0,242.0,277.0,403.0,217.0,3101.0,3280.0,14251.0
77055,11248.0,915.0,756.0,2678.0,2401.0,2428.0,1779.0,291.0,30880.0
77056,3252.0,173.0,189.0,452.0,565.0,395.0,880.0,598.0,16152.0
77057,7195.0,637.0,410.0,1633.0,1218.0,1020.0,1500.0,777.0,30140.0
77058,4521.0,157.0,186.0,711.0,576.0,613.0,1363.0,915.0,12120.0
77059,5549.0,235.0,265.0,974.0,1414.0,1513.0,783.0,365.0,12010.0
77060,12658.0,733.0,1059.0,3820.0,2740.0,2491.0,1684.0,131.0,27801.0
77061,7638.0,412.0,282.0,1703.0,1708.0,1812.0,1366.0,355.0,16742.0
77062,7759.0,640.0,373.0,1305.0,1357.0,1787.0,1707.0,590.0,18424.0
77063,7341.0,550.0,614.0,1357.0,1000.0,1009.0,2040.0,771.0,27536.0
77064,12700.0,926.0,615.0,3114.0,2388.0,3018.0,2190.0,449.0,33539.0
77065,11618.0,503.0,534.0,2551.0,2670.0,2362.0,2254.0,744.0,26080.0
77066,9828.0,546.0,597.0,2017.0,2192.0,1978.0,2243.0,255.0,21796.0
77067,10567.0,478.0,604.0,2422.0,2200.0,2492.0,2064.0,307.0,20207.0
77068,2645.0,70.0,78.0,379.0,714.0,542.0,751.0,111.0,8423.0
77069,3496.0,327.0,115.0,600.0,873.0,842.0,729.0,10.0,13919.0
77070,13676.0,853.0,637.0,2740.0,2454.0,2556.0,3430.0,1006.0,34062.0
