Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77003,4470.0,1851.0,849.0,1002.0,249.0,753.0,2619.0,2138.0,481.0
77375,16125.0,11790.0,9111.0,2679.0,488.0,2191.0,4335.0,3405.0,930.0
77002,3295.0,482.0,401.0,81.0,34.0,47.0,2813.0,2327.0,486.0
77091,9658.0,6000.0,3146.0,2854.0,588.0,2266.0,3658.0,3116.0,542.0
77024,15252.0,10227.0,8948.0,1279.0,302.0,977.0,5025.0,4573.0,452.0
77036,26852.0,16872.0,9202.0,7670.0,2504.0,5166.0,9980.0,7974.0,2006.0
77046,719.0,204.0,204.0,0.0,0.0,0.0,515.0,443.0,72.0
77049,10236.0,7891.0,5579.0,2312.0,636.0,1676.0,2345.0,2001.0,344.0
77061,8690.0,5939.0,3424.0,2515.0,719.0,1796.0,2751.0,2369.0,382.0
77073,12824.0,9791.0,6255.0,3536.0,726.0,2810.0,3033.0,2164.0,869.0
77076,9756.0,7483.0,3852.0,3631.0,1101.0,2530.0,2273.0,2014.0,259.0
77079,12496.0,8879.0,7347.0,1532.0,393.0,1139.0,3617.0,3217.0,400.0
77080,15241.0,10262.0,6310.0,3952.0,1209.0,2743.0,4979.0,4021.0,958.0
77087,11076.0,8075.0,4451.0,3624.0,890.0,2734.0,3001.0,2481.0,520.0
77092,14075.0,8366.0,5078.0,3288.0,1031.0,2257.0,5709.0,4264.0,1445.0
77095,24232.0,19016.0,15325.0,3691.0,924.0,2767.0,5216.0,4244.0,972.0
77016,9771.0,6564.0,2855.0,3709.0,1347.0,2362.0,3207.0,2782.0,425.0
77018,10889.0,6868.0,5153.0,1715.0,562.0,1153.0,4021.0,3235.0,786.0
77029,5664.0,3744.0,2428.0,1316.0,359.0,957.0,1920.0,1671.0,249.0
77044,12594.0,10798.0,7845.0,2953.0,787.0,2166.0,1796.0,1545.0,251.0
77048,5622.0,4174.0,2185.0,1989.0,450.0,1539.0,1448.0,1232.0,216.0
77051,6102.0,3944.0,1426.0,2518.0,338.0,2180.0,2158.0,1912.0,246.0
77066,10315.0,8306.0,5534.0,2772.0,719.0,2053.0,2009.0,1690.0,319.0
77054,12485.0,4370.0,2742.0,1628.0,491.0,1137.0,8115.0,6475.0,1640.0
77059,5889.0,4932.0,4363.0,569.0,237.0,332.0,957.0,767.0,190.0
