Zipcode,Estimate!!Total,Estimate!!Total!!Family households,Estimate!!Total!!Family households!!Married-couple family,Estimate!!Total!!Family households!!Other family,"Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",Estimate!!Total!!Nonfamily households,Estimate!!Total!!Nonfamily households!!Householder living alone,Estimate!!Total!!Nonfamily households!!Householder not living alone
77586,8580.0,5362.0,4264.0,1098.0,393.0,705.0,3218.0,2632.0,586.0
77587,4551.0,3714.0,2511.0,1203.0,453.0,750.0,837.0,714.0,123.0
77598,10354.0,5032.0,2728.0,2304.0,709.0,1595.0,5322.0,4186.0,1136.0
77002,3248.0,595.0,457.0,138.0,31.0,107.0,2653.0,2233.0,420.0
77003,4434.0,1909.0,923.0,986.0,253.0,733.0,2525.0,2046.0,479.0
77004,13097.0,5823.0,3182.0,2641.0,651.0,1990.0,7274.0,5469.0,1805.0
77005,9899.0,6898.0,6313.0,585.0,164.0,421.0,3001.0,2659.0,342.0
77006,12159.0,3467.0,2800.0,667.0,303.0,364.0,8692.0,6563.0,2129.0
77007,18345.0,7502.0,6062.0,1440.0,689.0,751.0,10843.0,8253.0,2590.0
77008,15671.0,7723.0,5952.0,1771.0,612.0,1159.0,7948.0,6243.0,1705.0
77009,14260.0,8569.0,5025.0,3544.0,1029.0,2515.0,5691.0,4456.0,1235.0
77010,529.0,198.0,198.0,0.0,0.0,0.0,331.0,303.0,28.0
77011,5511.0,4043.0,2383.0,1660.0,616.0,1044.0,1468.0,1286.0,182.0
77012,6204.0,4331.0,2527.0,1804.0,689.0,1115.0,1873.0,1504.0,369.0
77013,6033.0,4252.0,2466.0,1786.0,657.0,1129.0,1781.0,1450.0,331.0
77014,11285.0,7723.0,4523.0,3200.0,729.0,2471.0,3562.0,2928.0,634.0
77015,17403.0,13145.0,8162.0,4983.0,1372.0,3611.0,4258.0,3445.0,813.0
77016,9506.0,6120.0,2684.0,3436.0,1067.0,2369.0,3386.0,2961.0,425.0
77017,10073.0,7394.0,4862.0,2532.0,746.0,1786.0,2679.0,2165.0,514.0
77018,10864.0,6936.0,5243.0,1693.0,468.0,1225.0,3928.0,3205.0,723.0
77019,10867.0,4591.0,3555.0,1036.0,475.0,561.0,6276.0,4906.0,1370.0
77020,8538.0,5774.0,2812.0,2962.0,596.0,2366.0,2764.0,2407.0,357.0
77021,10538.0,5567.0,2496.0,3071.0,572.0,2499.0,4971.0,4122.0,849.0
77022,9347.0,5761.0,3250.0,2511.0,702.0,1809.0,3586.0,3168.0,418.0
77023,9549.0,6206.0,3500.0,2706.0,692.0,2014.0,3343.0,2704.0,639.0
77024,15254.0,10281.0,8897.0,1384.0,340.0,1044.0,4973.0,4523.0,450.0
77025,12847.0,6624.0,5163.0,1461.0,393.0,1068.0,6223.0,5375.0,848.0
77026,8234.0,4953.0,2087.0,2866.0,572.0,2294.0,3281.0,2872.0,409.0
77027,8764.0,3299.0,2669.0,630.0,234.0,396.0,5465.0,4340.0,1125.0
77028,5348.0,3313.0,1548.0,1765.0,398.0,1367.0,2035.0,1849.0,186.0
77029,5730.0,3785.0,2582.0,1203.0,270.0,933.0,1945.0,1708.0,237.0
77030,4858.0,2240.0,2007.0,233.0,90.0,143.0,2618.0,2001.0,617.0
77031,5983.0,3947.0,2420.0,1527.0,273.0,1254.0,2036.0,1640.0,396.0
77032,4100.0,2938.0,1225.0,1713.0,347.0,1366.0,1162.0,1070.0,92.0
77033,8738.0,6237.0,2461.0,3776.0,602.0,3174.0,2501.0,2318.0,183.0
77034,12139.0,9103.0,5787.0,3316.0,813.0,2503.0,3036.0,2582.0,454.0
77035,13720.0,8458.0,5189.0,3269.0,872.0,2397.0,5262.0,4436.0,826.0
77036,26430.0,17007.0,9174.0,7833.0,2497.0,5336.0,9423.0,7270.0,2153.0
77037,5339.0,4569.0,2734.0,1835.0,661.0,1174.0,770.0,597.0,173.0
77038,8123.0,6473.0,3804.0,2669.0,772.0,1897.0,1650.0,1459.0,191.0
77039,7335.0,5989.0,3644.0,2345.0,775.0,1570.0,1346.0,1123.0,223.0
77040,17502.0,11381.0,7902.0,3479.0,955.0,2524.0,6121.0,5068.0,1053.0
77041,11527.0,9158.0,7315.0,1843.0,475.0,1368.0,2369.0,1937.0,432.0
