Zipcode,Less than high school graduate,High school graduate (includes equivalency),Some college or associate degree,Bachelor degree,Graduate or professional degree
77003,1621.0,1133.0,1683.0,1629.0,1134.0
77375,3173.0,8480.0,9763.0,7121.0,2401.0
77002,1824.0,2983.0,2122.0,1545.0,1374.0
77091,4313.0,5679.0,4344.0,1526.0,825.0
77024,826.0,2025.0,3594.0,10763.0,9443.0
77036,17048.0,13161.0,8659.0,4751.0,2106.0
77046,0.0,20.0,254.0,369.0,301.0
77049,5525.0,5099.0,5549.0,2016.0,960.0
77061,5377.0,5246.0,3062.0,1467.0,619.0
77073,4150.0,7079.0,8832.0,2855.0,1086.0
77076,9252.0,6684.0,2610.0,637.0,114.0
77079,1452.0,2346.0,4105.0,8592.0,5666.0
77080,9361.0,8081.0,6461.0,3382.0,1615.0
77087,8648.0,6813.0,4630.0,1465.0,500.0
77092,6507.0,8457.0,5410.0,2966.0,1077.0
77095,3314.0,8731.0,14784.0,13295.0,6664.0
77016,5363.0,7269.0,4672.0,1036.0,734.0
77018,2972.0,3680.0,3800.0,5614.0,3731.0
77029,4663.0,2923.0,2628.0,542.0,286.0
77044,4186.0,6671.0,7110.0,5085.0,2409.0
77048,2026.0,3314.0,3329.0,1176.0,738.0
77051,2255.0,3509.0,3319.0,906.0,239.0
77066,4397.0,6505.0,5918.0,3581.0,1360.0
77054,231.0,1685.0,4534.0,4254.0,5516.0
77059,580.0,862.0,2077.0,4757.0,3743.0
77062,1010.0,2729.0,6123.0,5363.0,2854.0
77075,7726.0,8310.0,5997.0,2426.0,711.0
77078,2863.0,3514.0,2124.0,622.0,292.0
77085,3788.0,2911.0,2527.0,1198.0,668.0
77484,1528.0,2079.0,2027.0,804.0,352.0
77506,9468.0,6757.0,3993.0,696.0,120.0
77520,6923.0,6116.0,7188.0,1631.0,686.0
77532,2831.0,6060.0,6888.0,2365.0,703.0
77586,514.0,2433.0,5340.0,4827.0,2113.0
77598,2364.0,2932.0,5600.0,3441.0,1331.0
77502,8585.0,6975.0,5156.0,1189.0,422.0
77547,2437.0,1605.0,1280.0,302.0,74.0
77503,4265.0,4822.0,4720.0,1057.0,378.0
77521,5506.0,9739.0,13079.0,4446.0,1620.0
77530,5864.0,6344.0,4981.0,884.0,298.0
77571,2700.0,7735.0,10089.0,3307.0,1504.0
77336,1042.0,2656.0,3067.0,1102.0,188.0
77094,135.0,474.0,1103.0,2543.0,1910.0
77096,2106.0,3770.0,5490.0,6577.0,5802.0
77379,2787.0,8676.0,15792.0,16551.0,8428.0
77389,1000.0,3450.0,4861.0,7307.0,3715.0
77010,11.0,1.0,81.0,328.0,421.0
77020,6721.0,4527.0,3171.0,966.0,414.0
77021,2767.0,4934.0,5085.0,2595.0,1818.0
77030,166.0,286.0,714.0,2418.0,3837.0
77037,6660.0,3522.0,1383.0,268.0,60.0
77045,6442.0,6572.0,5255.0,2264.0,994.0
77082,4421.0,8599.0,11613.0,9395.0,4839.0
77084,9805.0,15600.0,20640.0,13301.0,5348.0
77346,2534.0,7532.0,13591.0,11348.0,4582.0
77373,3078.0,10546.0,14568.0,6107.0,2545.0
77035,6820.0,5171.0,6363.0,3909.0,2872.0
77041,3894.0,5416.0,6077.0,5056.0,2917.0
77050,1109.0,1070.0,729.0,323.0,81.0
77063,2929.0,4610.0,6545.0,8377.0,4128.0
77071,2760.0,4239.0,4704.0,4168.0,2236.0
77074,7448.0,7456.0,5008.0,3463.0,1264.0
77088,10183.0,11325.0,8794.0,3512.0,1217.0
77090,3292.0,5852.0,8146.0,3110.0,1537.0
77098,226.0,319.0,1738.0,4425.0,4327.0
77083,9728.0,12465.0,14404.0,8697.0,3665.0
77401,363.0,688.0,1689.0,4175.0,6291.0
77433,3713.0,8429.0,11581.0,14250.0,7006.0
77504,3148.0,4488.0,3912.0,1695.0,608.0
77338,3490.0,7463.0,9429.0,3084.0,979.0
77339,1191.0,4836.0,10198.0,7858.0,3619.0
77429,2673.0,9227.0,15848.0,18065.0,7846.0
77507,0.0,0.0,0.0,0.0,0.0
77562,1116.0,2435.0,2666.0,383.0,325.0
77004,2558.0,3914.0,5113.0,5224.0,4961.0
77008,1896.0,3234.0,5222.0,9900.0,6934.0
77006,508.0,1206.0,3692.0,6252.0,6008.0
77009,7629.0,5008.0,5375.0,4297.0,3273.0
77014,4996.0,4926.0,7691.0,2676.0,998.0
77031,2736.0,2597.0,2586.0,2077.0,734.0
77034,6219.0,6721.0,6410.0,2184.0,790.0
77055,7847.0,6225.0,4773.0,5812.0,3832.0
77072,13590.0,10647.0,8416.0,3813.0,1189.0
77011,5719.0,2890.0,2127.0,593.0,159.0
77012,6846.0,3330.0,1983.0,611.0,69.0
77013,5192.0,3429.0,2924.0,662.0,221.0
77449,11027.0,17304.0,23713.0,13759.0,4331.0
77450,2737.0,7185.0,12896.0,16394.0,8807.0
77505,1451.0,4314.0,6076.0,2748.0,1233.0
77536,2194.0,5106.0,9399.0,3031.0,1244.0
77587,4105.0,3064.0,1512.0,554.0,172.0
77086,5838.0,5790.0,3671.0,1098.0,305.0
77493,2459.0,4718.0,6162.0,3832.0,1919.0
77015,10829.0,8917.0,8599.0,2491.0,1351.0
77022,7795.0,5189.0,3464.0,863.0,290.0
