Cities_by_Zipcodes,Population_2016
Houston,3073737.0
North Houston,0.0
Kingwood,0.0
Huffman,11806.0
Hufsmith,0.0
Humble,38300.0
Kingwood2,70872.0
Humble2,61719.0
Spring,59297.0
Tomball,82164.0
Spring2,152409.0
Humble3,50196.0
Bellaire,18667.0
Cypress,0.0
Alief,0.0
Barker,0.0
Cypress2,150801.0
Hockley,15417.0
Katy,186523.0
Waller,10716.0
Katy2,27273.0
Pasadena,148895.0
Baytown,93863.0
Channelview,30635.0
Crosby,29224.0
Deer Park,32182.0
Galena Park,9999.0
Highlands,10490.0
La Porte,37031.0
Seabrook,22280.0
South Houston,16862.0
Webster,24309.0
